"idchem","label","definition"
460029,"Polychlorinated biphenyls or PCBs ","A series of synthetic chlorinated aromatic hydrocarbons prepared by chlorinating biphenyl, C12H10.  They are chemically inert, resistant to both heat and biological degradation and have a high dielectric constant.  First used in 1929 as non-flammable fluids for electric transformers and capacitors, this has remained their most important use.  They are also used as hydraulic fluids, heat transfer fluids, cutting fluids, and lubricants.  "
460030,"Cutting fluids pre-1955","Fluids used before 1955 in metal cutting, machining, and drawing processes to cool, clean, and reduce friction on the workpieces.  Prior to 1955, most cutting fluids in use were straight mineral oils.  Furthermore, the refining process used in this period did not involve solvent extraction and, consequently, these oils contained relatively high levels of PAHs.  "
460031,"Cutting fluids post-1955","Fluids used since 1955 in metal cutting, machining, and drawing processes to cool, clean, and reduce friction on the workpieces.  Although straight mineral oils are still used, there has been an increased tendency to use aqueous oil emulsions or synthetic cutting fluids.  Furthermore, the use of solvent-extracted oils has led to reduced quantities of PAHs in these oils.  "
470001,"Other paints, varnishes","Paint is a dispersion of a finely divided pigment in a liquid composed of a resin or binder and a volatile solvent or water. Paints are used to cover plaster, wood, gypsum wallboard and metal.  This category refers to paints used on surfaces other than metal, and varnishes used on surfaces other than wood. 
Gypsum/plaster coatings are used to cover gypsum-clad or plaster walls and ceilings in homes and commercial/industrial buildings. Water-based coating applies to paints, stains and varnishes containing water as a solvent for the film-forming resin.  Solvent based coating includes paints, stains and varnishes containing volatile organic liquids such as turpentine, aliphatic alcohols or aliphatic or aromatic hydrocarbons as the solvent form the film-forming resin. Paints used by artist and trade sale paints such as alkyds, acrylic latexes and caseins (in the past) were also included. Artist used paints to impart colour to their paintings, sculptures or other works art.
"
470002,"Wood varnishes, stains and paints","Varnishes are light-bodied quick drying products that form a glossy or mat finish on application.  They contain no pigments that impart color to the wood. Oleoresinous varnishes are made of resins in drying oils, mixed with driers and thinning agents such as alcohols, ethers, and naphthas. Varnishes can be either water-or solvent-based.  Varnishes based on alkyds and urethanes have largely replaced them.  Stains are varnishes containing enough dyes to alter the appearance of a wood surface.  A paint is a dispersion of a finely divided pigment in a liquid composed of a resin or binder and a volatile solvent (or water). Wood paints refer to paints specifically applied to wood surfaces. "
470003,"Inks","Colored liquids or pastes used for writing, drawing, marking, and printing.  Writing ink usually contains ferrous sulphate and indigo dye with tannic acid.  Various formulations of printing inks are available to meet the demands of specific print jobs.  Newspaper inks, for instance usually contain carbon black and various mineral oils.  Ink pigments may be inorganic (including lead chromates) or organic (including benzidine yellows).  "
470005,"Metal coatings","Paints and coatings used specifically for metals and made up of combinations of oxidizing alkyds, epoxies, formaldehyde resins, thermosetting acrylics, polyesters, and others.   A paint is a dispersion of a finely divided pigment in a liquid composed of a resin or binder and a volatile solvent used to cover plaster, wood, gyproc, and metal.  These coatings may be applied to motor vehicles, structural steel, ships, home applicances, metal furniture, etc.  "
510001,"Cyanides","Includes hydrogen cyanide (which was also coded separately), sodium, potassium and calcium cyanide and all other salts of hydrocyanic acid.  Molten sodium cyanide is used in metallurgy in case-hardening processes and cyanide solutions are widely used in electroplating.  Cyanides have also been used to clean brass, copper and other metal surfaces, in the extraction of gold, in photography, and in insecticides.  "
510002,"Fluorides","Includes exposures to all fluorides (e.g., Na3AlF6, sodium aluminium fluoride, also called cryolite, used as a flux in the production of aluminium, in the fabrication of special glasses, porcelain and in insecticides).  Some welding electrode coatings contain a calcium carbonate-calcium fluoride system; this is thermally degraded during welding to silicon hexafluoride which gives rise to hydrogen fluoride in the presence of water.  Sodium, potassium, and calcium fluorides are also present in the welding environment.  "
510003,"Chromium (VI)","Comprises hexavalent chromium (Cr) compounds found in chromium fumes and in various chromium compounds.  The most important compounds in this hexavalent state are sodium and potassium dichromate, chromic acid and a number of pigments such as lead chromate, (which was coded separately), zinc chromate and strontium chromate.  These compounds have many industrial applications as a consequence of their acidic and oxidant properties and their ability to form strongly colored and insoluble salts.  They have been used in the manufacture of important inorganic pigments which are used in paints, artist's colors, glasses and glazes.  They have also been used in chrome plating, for corrosion inhibition and in wood preservation, leather tanning, textile dyeing, lithography and chrome plating.    "
510004,"Hypochlorites","Includes both sodium and calcium hypochlorites.  These compounds decompose easily in water and are used as a source of chlorine for cleaning, bleaching, and sanitizing.  A water solution of sodium hypochlorite known as javel water is used extensively in the laundry industry.  These bleaching powders have also been used in the textile and paper pulp industries."
510005,"Nitrates","Inorganic compounds containing one or several -NO3 functional groups.  Sodium, potassium and ammonium nitrates are the main substances included here.  They have been used in the manufacture of explosives, fertilizers, glass, pyrotechnics, welding fluxes and  matches; in steel heat treating, and in meat processing.  "
510499,"Beryllium Compounds","Comprises beryllium (Be) fumes, dust from beryllium-containing alloys and ores and all other beryllium-containing substances.  Due to the high cost of beryllium, it is not used in engineering or as a construction material.  It is increasingly used in the atomic energy industry, and in alloys for anti-spark tools and machinery parts such as bushings and current carrying springs which are subjected to abnormal wear, vibrations, or shocks.  Stationary engineers and engine and boiler-room crew in ships have been exposed from coal ashes, which contain beryllium compounds. "
511299,"Magnesium compounds","Comprises magnesium (Mg) dust, magnesium fumes (which was also coded separately), magnesium-containing alloys and ores and all other magnesium-containing substances (e.g., magnesium oxide, magnesium chloride, magnesium sulphate and magnesium metasilicates).  Magnesium being an active metal, it is rarely used as a construction material.  However, due to its lightness it is mainly used as an alloying element.  It has been used as a desulphurizer and deoxidizer in the production of copper and nickel based alloys, and in pyrotechnics and signal flares.  Magnesium compounds have also been used in insulating cement, pipe insulation and in fertilizers.  Magnesite, a mineral composed of magnesium carbonate mixed with some iron carbonate and ferric oxide, is a valued refractory material for crucibles, furnace brick and linings and high temperature electrical insulation.  "
511399,"Aluminium Compounds","Comprises dust from aluminium (Al)-containing alloys and aluminium fumes (both of which were also coded separately), dust from aluminium-containing ores and all other aluminium-containing substances (some of which were also coded separately, e.g.  alumina, alum).  The major industrial uses of aluminium have been in the construction, aircraft, and electrical industries.  Alumina has been used extensively as an abrasive in a wide variety of machine tools such as fast cutting and grinding wheels and in refractories.  "
512299,"Titanium compounds","Comprises dust from titanium (Ti)-containing alloys and ores, titanium dioxide dust and fumes (both of which were also coded separately) and all other titanium-containing substances.  Titanium metal is obtained commercially from two ores:  rutile and ilmenite.  It has been used in jet engine components and as an alloying element in steels.  "
512399,"Vanadium compounds","Comprises vanadium (V) dust, vanadium fumes, and dust from vanadium-containing alloys and ores and all other vanadium-containing substances.  Exposure to vanadium compounds has been mainly restricted to mining and milling of vanadium containing ores.  Engine and boiler-room workers may also be exposed because the ashes and soot of oil-fired burners contain vanadium pentoxide.  "
512499,"Chromium compounds","Comprises chromium (Cr) dust, chromium fumes, chromium (VI) compounds (all of which were also coded separately), dust from chromium-containing alloys (including stainless steel which was coded separately) and ores and all other chromium-containing substances.  Many chromium compounds have been used in the manufacture of important inorganic pigments.  "
512599,"Manganese compounds","Comprises manganese (Mn) dust, manganese fumes (which were also coded separately), dust from manganese-containing alloys and ores and all other manganese-containing substances.  Manganese is a silvery-white metal found in a number of minerals, with iron ores and in most rocks.  It is used mainly as an alloying element to improve the strength and hardness of steels and and to reduce the oxygen and sulphur naturally present in the iron ore.  Some manganese compounds have also been used in the manufacturing of dry cell batteries, as oxidizing agents (e.g., potassium permanganate) in the chemical industry, and as drying agents for linseed oil-based paints.  Organo-manganese compounds have also been used as antiknock additives in gasoline.  "
512699,"Iron compounds","Comprises iron (Fe) dust, iron oxides and iron fumes (all of which were also coded separately), dust from iron-containing alloys (mild and stainless steel were also coded separately), iron-containing ores and all other iron-containing substances.  Iron is the most common of the commercial metals and forms a large group of materials known as ferroalloys.  Several iron compounds have been used as paint pigments, polishing compounds, and coatings for magnetic tapes while the soluble salts have been used as dyeing mordants, catalysts, fertilizers, in sewage treatments, and in feeds.  "
512799,"Cobalt compounds","Comprises cobalt (Co) fumes, dust from cobalt-containing alloys and ores and all other cobalt-containing substances (e.g.,  acetate, oleate, resinate).  Most cobalt has been used for high temperature alloys.  Cobalt is added to tool steels to increase the strength and hardness of those required to operate at high speed and high temperature.  A variety of organic salts of cobalt, such as resinate, oleate and acetate etc. have been used extensively as drying agents for paints, inks and varnishes.  Other cobalt compounds have been used in pottery to improve color.  "
512899,"Nickel compounds","Comprises nickel (Ni) dust and nickel fumes, (both of which were also coded separately), dust from nickel-containing alloys (including stainless steel, which was coded separately) and ores and all other nickel-containing substances.  Most occupational exposures occurred through the use of nickel-based alloys, mainly stainless steel.  Other major uses have been in plating where more nickel has been used than any other metal, and as a catalyst in hydrogenation of organic compounds.  "
512999,"Copper compounds","Comprises copper (Cu) dust and copper fumes (both of which were also coded separately), dust from copper-containing alloys and ores and all other copper-containing substances. Copper compounds have been used in electroplating solutions, insecticides and fungicides; copper-containing alloys have been used in jewelry and silverware.  "
513099,"Zinc compounds","Comprises zinc (Zn) dust, zinc fumes (both of which were also coded separately), dust from zinc-containing alloys and ores and all other zinc-containing substances (including zinc oxide which was also coded separately).  Zinc sulphide, a white powder, has been used as a pigment in paints, for whitening rubber, and for paper coating.  "
513399,"Arsenic compounds","Comprises arsenic (As) dust, arsenic fumes, dust from arsenic-containing alloys and ores and all other arsenic containing substances (e.g., calcium, sodium and lead arsenate).  Although use of the metal is limited to a few applications involving lead-arsenic alloys, several compounds have been widely used as insecticides.  The smelting and refining of arsenic-containing ores (e.g., copper smelting and refining) and boiler cleaning (ashes and soot may contain arsenic trioxide) are other potential sources of exposure.  "
513499,"Selenium compounds","Comprises selenium (Se) dust , selenium fumes, and dust from selenium-containing alloys and ores and all other selenium-containing substances.  Selenium is recovered as a by-product from copper refining and from residues when iron sulphide ores are roasted for sulphuric acid production.  Selenium and its compounds have been used as semiconductors in the electronics industry, as pigments in glass, plastics, paints and ceramics, as vulcanizing agents in rubber, as agricultural pesticides, as degasifiers in stainless steel foundry operations and for dermatitis and dandruff control in pharmaceuticals.  "
514799,"Silver compounds","Comprises silver (Ag) dust, silver fumes (which were also coded separately), dust from silver-containing alloys and ores and all other silver-containing substances.  Silver (Ag) is a white metal which occurs in the native state or combined with sulphur and chlorine.  Copper, lead and zinc ores frequently contain silver and most of the production of this metal is a by-product of the refining of these metals.  Silver and its compounds have been used in photography, electrical applications, jewelry and silverware, brazing alloys, and mirrors.  "
514899,"Cadmium compounds","Comprises cadmium (Cd) dust and cadmium fumes (both of which were also coded separately), dust from cadmium-containing alloys and ores and all other cadmium-containing substances (e.g. cadmium sulphide, selenide, nitrate).  Cadmium has been widely used in electroplating as a protective coating for iron, steel, and copper.  Cadmium compounds such as cadmium sulphide and cadmium selenide are important coloring pigments for plastics, paints, etc.  "
515099,"Tin compounds","Comprises tin (Sn) dust, tin fumes (both of which were also coded separately), dust from tin-containing alloys and ores and all other tin-containing substances.  Organo-tins have been used as plastics stabilizers, biocides and as catalysts. "
515199,"Antimony compounds","Comprises antimony (Sb) dust, antimony fumes, dust from antimony-containing alloys and ores and all other antimony-containing substances.  Antimony itself is a lustrous, silvery blue?white, extremely brittle metal.  When alloyed with other metals, it increases hardness, lowers melting points and reduces shrinkage upon freezing.  Most occupational exposures were due to antimony-lead alloys used as type metal, storage battery plates, bullets, tank linings, bearing metals, etc.  Residual soot or ashes may also contain antimony compounds.  "
517499,"Tungsten compounds","Comprises tungsten (W) dust, tungsten fumes, and dust form tungsten-containing alloys and ores, and all other tungsten-containing substances. Tungsten, a white, heavy metal, is widely distributed in small quantities in nature, but is mostly obtained from scheelite, wolframite and a few other ores.  It has one of the most highest melting point (3400 °C) of all of metals, a property that renders it very useful for lamp filaments, electric contacts, rocket nozzles, and in electronic applications.  The most widely used tungsten compound is the carbide (WC), which contains  equal parts of Tungsten (W) and Carbon (C) atoms, is an extremely fine gray powder that can be pressed into shapes for use in cutting tools (tool bits), abrasives, and wear-resistant machine parts. Tools steels containing up to 18% of Tungsten are generally used in machining steels."
518099,"Mercury compounds","Comprises metallic mercury (Hg) (which was also coded separately), dust from mercury-containing amalgams and ores, and all other mercury-containing substances.  Mercury compounds have been used as agricultural and industrial poisons; some organo-mercuric compounds have been used as antiseptics.  Other mercury compounds are or have been used in taxidermy, in carroting rabbit fur for felt hats, in the manufacture of explosives and in paints as antifouling and mildew-proofing agents. "
518299,"Lead compounds","Comprises lead dust (Pb), lead oxides and lead fumes (all of which were also coded separately), dust from lead-containing alloys and ores and all other lead-containing substances (e.g., lead chromate, basic lead carbonate, which were also coded separately).  Inorganic lead compounds have been used in agriculture and as pigments in rubber, plastics and paints.  Organic lead compounds, such as tetraethyl or tetramethyl lead, have been used as antiknock compounds in leaded gasolines, while lead alloys have been commonly used as solders.  "
520197,"Alkanes (C18+)","Includes all saturated hydrocarbons having more than 18 carbon atoms, with the general formula CnH2n+2.  They are all solids at standard conditions.  One mixture of these long-chained hydrocarbons, known as petroleum jelly, is widely used in lubricating oils and greases and for compounding in rubber and resins.  Highly refined, it is used in the pharmaceutical industry.  Parrafin waxes, which were also coded separately, also fall into this category.  "
520198,"Alkanes (C1-C4)","Includes the first four similarly structured compounds called paraffins, namely: methane, ethane, propane and butane.  They are gaseous at standard temperatures and are used as fuels or as raw materials in the chemical industry.  "
520199,"Alkanes (C5-C17)","Saturated hydrocarbons, straight or branched-chained with the general formula CnH2n+2, containing between 5 and 17 carbon atoms.  They are liquids at standard conditions.  They are the main components of petroleum solvents such as petroleum ether, rubber solvent, VM&P naphthas, mineral spirits, Stoddard solvent, kerosene and fuels such as gasoline, jet fuel and heating oils.  "
520299,"Aliphatic alcohols","Aliphatic hydrocarbon derivatives in which one hydrogen atom is replaced by an -OH group.  This includes methanol, ethanol, isopropanol (all of which were also coded separately) and propanol.  These alcohols are generally used as solvents in toiletries, pharmaceuticals, and surface coatings, as rubbing compounds, and in fur cleaning.  Ethanol is used in alcoholic beverages.  "
520599,"Aliphatic aldehydes","A family of organic compounds represented by general formula RCHO (where R is a hydrogen or an alkyl group).  The most important exposures in this group are formaldehyde (which was also coded separately and is widely used in various industries) and acrolein (a pyrolysis product of many organic compounds).  "
520899,"Chlorinated alkanes","Saturated hydrocarbons in which at least one hydrogen is replaced by a chlorine atom.  This replacement increases many desirable properties such as specific gravity and boiling points, and reduces flammability.  These materials, e.g., methylene chloride, chloroform,  carbon tetrachloride, and 1,1,1-trichloroethane (all of which were also coded separately), are used as solvents for fats and oils, for metal degreasing, for drycleaning of textiles, as refrigerants, in insecticides, and in fire extinguishers.  "
521199,"Unsaturated aliphatic hydrocarbons","All organic compounds containing only carbon and hydrogen atoms and at least one carbon-carbon double or triple bond, i.e., alkenes and alkynes.  Ring compounds are excluded.  The main substances included in this category were acetylene, ethylene (both of which were also coded separately) and propylene.  "
521399,"Chlorinated alkenes","Unsaturated hydrocarbons in which one or more hydrogens are replaced with chlorine atoms.  These relatively nonflammable, organic compounds are used in dry cleaning of textiles and in metal degreasing.  Examples are trichloroethylene, perchloroethylene and vinyl chloride (all of which were also coded separately).  "
521499,"Aliphatic esters","Compounds with the general formula RC=OOR' (R and R' are aliphatic groups) produced by reacting an alcohol and an acid.  The main substances included here are the formates and the acetates (methyl, ethyl, propyl, butyl, etc.).  They have been used mainly as solvents for resins (nitrocellulose), and in the production of varnishes, artificial leather and pharmaceuticals.  "
521599,"Aliphatic ketones","A family of organic compounds represented by general formula RCOR', containing a carbonyl group (=CO) linked to two carbon atoms.  Acetone (which is also coded separately) and methyl ethyl ketone (MEK) are widely used in industry as solvents for resins (nitrocellulose, acrylic and epoxies) and for synthetic adhesives. "
521699,"Fluorocarbons","Paraffinic compounds in which one or more hydrogen atoms are replaced by fluorine.  They may also contain chlorine.  They have been used mainly in fire extinguishers, as refrigerants, as cleaning solvents, and as propellants in variety of products ranging from paints and insecticides to cosmetics such as perfumes, hair sprays and deodorants.  "
521999,"Glycol ethers","Synthetic organic liquids with sweetish odors and high boiling points generally manufactured by reaction of an epoxide (ethylene, propylene or butylene oxide) with the appropriate alcohol.  Miscibility of these ethers with water and organic solvents makes them especially useful as mutual solvents in many oil-water compositions.  They have been used as solvents for various resins, lacquers, paints, varnishes, dyes, inks, printing pastes, cleaning agents, liquid soaps, and even cosmetics.  They have also been used widely as components of hydraulic fluids and as chemical intermediates.  "
530193,"PAHs from any source","Polycyclic aromatic hydrocarbons are a group of chemicals made up of three or more benzene rings interlinked in various arrangements.  They are naturally present in fossil fuels or can be formed by thermal decomposition of any organic material containing carbon and hydrogen.  Because the profile of PAHs produced depends, among other factors, on the source material which gives rise to PAH exposure, four categories corresponding to various classes of source materials were created:  PAHs from coal, PAHs from petroleum; PAHs from wood and PAHs from other sources.  In addition, exposure to benzo(a)pyrene was coded.  The category described here was assigned whenever one of the specific categories mentioned above was coded. "
530194,"PAHs from other sources","Polycyclic aromatic hydrocarbons are a group of chemicals made up of three or more benzene rings interlinked in various arrangements.  They are naturally present in fossil fuels or can be formed by thermal decomposition of any organic material containing carbon and hydrogen.  This category was used to assign exposures to PAHs when the source material did not correspond to one of the three specific categories:  coal, wood, petroleum.  PAHs present in pyrolysis products of plastic, paint, rubber, food or other organic compounds would have been coded here.  "
530195,"PAH's from wood","Polycyclic aromatic hydrocarbons are a group of chemicals made up of three or more benzene rings interlinked in various arrangements.  They are naturally present in fossil fuels or can be formed by thermal decomposition of any organic material containing carbon and hydrogen.  Wood combustion is an important source of benzo(a)pyrene (which is coded separately) and of other PAHs.  In fact, the quantity of benzo(a)pyrene in soots produced during wood combustion and coal combustion can be of the same order of magnitude.  "
530196,"PAHs from petroleum","Polycyclic aromatic hydrocarbons are a group of chemicals made up of three or more benzene rings interlinked in various arrangements.  They are naturally present in fossil fuels or can be formed by thermal decomposition of any organic material containing carbon and hydrogen.  Crude oil, certain petroleum-derived substances (e.g., heavy fuel oil, asphalt, etc.) and their combustion products contain PAHs, albeit in smaller quantities than similar coal-derived products.  Furthermore, concentrations of PAHs may increase in some of these products during use (e.g., used motor oils).  "
530197,"PAH's from coal","Polycyclic aromatic hydrocarbons are a group of chemicals made up of three or more benzene rings interlinked in various arrangements.  They are naturally present in fossil fuels or can be formed by thermal decomposition of any organic material containing carbon and hydrogen.  The most important sources of PAHs (in terms of quantity of PAHs released on a weight percent basis) in the workplace are coal tar products.  Coal tar products are used at high temperatures in many industrial processes such as aluminium smelting and iron and steel production, thereby emitting PAHs into the work atmosphere.  "
530198,"Benzo[a]pyrene","A number of five and six-membered ring PAHs are regarded as being carcinogenic and among these, benzo(a)pyrene, a six ring compound, has been the subject of special interest.  It is the most frequently studied PAH and analytical methods for its determination have been available for a long time;  in fact, determination of the benzo(a)pyrene exposure has often been used as a proxy for PAH exposure.  The highest concentrations of benzo(a)pyrene occur in coal tar products. "
530199,"Mononuclear aromatic hydrocarbons","MAHs are those hydrocarbons that possess the special properties associated with the benzene nucleus or ring, in which six carbon-hydrogen groups are arranged at the corners of the hexagon.  This includes all aromatic compounds that have only one benzene ring including substituted products such as xylene, toluene, styrene (all of which were also coded separately), phenol and ethyl benzene and others.  These substances are present in certain petroleums, solvents, motor and heating fuels and coal tar distillates. "
530299,"Aromatic alcohols","Includes all phenolic derivatives such as phenol itself (which was also coded separately), hydroquinone (a reducing agent in photographic developing baths), o-phenyl phenol (contained in Lysol®), hexachlorophene (Phisohex®, an antibacterial detergent used in hospitals), pyrocatechol (an antioxidant in rubber) and resorcinol (used in tanning).  Creosote (also coded separately), obtained from coal tar, also contains a small amount of phenol.  "
530399,"Aromatic amines","Aromatic hydrocarbons in which at least one hydrogen atom has been substituted by a primary, secondary or tertiary amino group.  The main compounds coded here are aniline, benzidine and naphtylamines.  Other chemical groups may also be present on the aromatic ring.  Many dyes and organic pigments contain the aromatic amine function.  "
531799,"Phthalates","Because of their low vapor pressures and chemical stability, various esters of phthalic acid such as diethyl, dibutyl, and di-n-octyl are used as plasticizers to impart flexibility to certain plastics, notably polyvinyl chloride or PVC.  "
531899,"Isocyanates","Represented by the general formula R-N=C=O, these are basic constituents in the production of polyurethanes, which in turn are used as flexible and rigid foams, and in resins, paints and varnishes.  Toluene diisocyanate (TDI) is the most commonly used of the isocyanates but all other types were included.  "
890001,"Ionizing radiation","A form of energy capable of penetrating matter and causing ionization along its path.  Includes X-rays, gamma rays, alpha and beta particles and neutrons.  X-ray machines, nuclear reactors and particle accelerators are sources of occupational exposure.  "
890002,"Radio frequency, microwaves","Radio and microwave radiation occupy the middle portion of the known electromagnetic spectrum.  Their frequencies range from 300 KHz to 300 GHz with microwave generally referring to those above 300 MHz.  Some important sources include radar systems used for tracking and guiding purposes as well as transmitters used in satellites.  Exposure has also occurred in radio and television broadcasting, wood and paper drying, plastic curing, food processing, medical treatment, biochemical analysis, burglar alarms and microwave ovens (both those used for cooking and for other industrial applications).  "
890003,"Ultraviolet radiation","The ""non-ionizing"" radiation portion of the spectrum that lies between the X-rays and visible spectrum.  Apart from natural solar ultraviolet radiation, other sources include incandescent, fluorescent, and discharge types of light sources and welding operations.  "
990005,"Cleaning agents","Materials which have cleansing action such as soap.  Their main function is to aid water in the cleaning process.  They may be simple sulphonated fatty acids or complex synthetic materials.  Organic solvents were excluded here and have been coded separately.  "
990013,"Fertilizers","Materials that are added to the soil to supply plant food either directly or by chemical reaction with the soil.  Commercial fertilizers include nitrates, phosphates, potash salts, calcium salts or mixtures of these.  "
990014,"Pesticides","Substances capable of killing some form of organism that is deemed to be undesirable.  Pesticides include insecticides, herbicides, rodenticides, fungicides, molluscicides and nematodicides.  Farming is the main occupation in which pesticides are used in large quantities, and are likely to be handled in an unsafe manner.  "
990021,"Biocides","Includes all products used to disinfect, deodorize, sterilize and sanitize.  This implies the capability of killing micro-organisms (algae, bacteria, viruses, etc.).  This group therefore includes bactericides, algicides, fungicides, germicides and preservatives.  Agricultural pesticides were coded separately.  "
990022,"Bleaches","Substances or mixtures which have the ability to chemically remove dyes or pigments that exist naturally in a material or that have been added to it in an industrial process.  They are widely used in the treatment of cellulose, in the pulp and paper industry and of course in the textile industry.  The main active agents found in bleaches include chlorine, calcium hypochlorite, potassium hypochlorite, sodium hypochlorite (Javex), chlorine dioxide, sodium chlorate, hydrogen peroxide and detergents (several of which have also been coded separately).  "
